date,own_speed_kph,own_throttle,own_brake,own_rpm,own_gear,own_drs,rival_speed_kph,rival_throttle,rival_brake,rival_rpm,rival_gear,rival_drs,gap_s,timestamp_s,speed_delta_kph,throttle_delta,rpm_delta,own_accel_kph_s,rival_accel_kph_s,gap_rate_s_per_s,speed_delta_roll_mean,speed_delta_roll_std,own_energy_mj,energy_uncertainty_mj,recovery_kw,recovery_uncertainty_kw,source_group,session_key,own_driver_number,rival_driver_number
2024-07-07 14:03:20.339000+00:00,242,59,0,10725,6,1,240,64,0,11465,6,1,0.112,0.0,2,-5,-740,0.0,0.0,0.0,2.0,0.0,,,,,0,9558,1,44
2024-07-07 14:03:20.579000+00:00,241,59,0,10751,6,1,238,65,0,11373,6,1,0.112,0.24,3,-6,-622,-4.166666666666667,-8.333333333333334,0.0,2.5,0.7071067811865476,,,,,1,9558,1,44
2024-07-07 14:03:20.899000+00:00,241,28,0,10459,6,1,239,78,0,11258,6,1,0.112,0.56,2,-50,-799,0.0,3.1249999999999996,0.0,2.3333333333333335,0.5773502691896258,,,,,2,9558,1,44
2024-07-07 14:03:21.259000+00:00,233,53,0,10541,6,1,239,78,0,11258,6,1,0.112,0.92,-6,-25,-717,-22.22222222222222,0.0,0.0,0.25,4.193248541803041,,,,,3,9558,1,44
2024-07-07 14:03:21.699000+00:00,238,100,0,10812,6,1,242,100,0,11520,6,1,0.112,1.36,-4,0,-708,11.363636363636362,6.8181818181818175,0.0,-0.6,4.09878030638384,,,,,4,9558,1,44
2024-07-07 14:03:21.939000+00:00,244,100,0,10996,6,1,244,100,0,11586,6,1,0.112,1.6,0,0,-590,25.0,8.333333333333334,0.0,-1.0,3.872983346207417,,,,,5,9558,1,44
2024-07-07 14:03:22.339000+00:00,250,100,0,11237,6,1,257,100,0,10501,7,1,0.112,2.0,-7,0,736,15.000000000000004,32.50000000000001,0.0,-3.0,3.872983346207417,,,,,6,9558,1,44
2024-07-07 14:03:22.499000+00:00,252,100,0,11350,6,1,258,100,0,10641,7,1,0.112,2.16,-6,0,709,12.49999999999999,6.249999999999995,0.0,-4.6,2.792848008753788,,,,,7,9558,1,44
2024-07-07 14:03:22.699000+00:00,255,100,0,11436,6,1,267,100,0,10939,7,1,0.112,2.36,-12,0,497,15.00000000000002,45.00000000000006,0.0,-5.8,4.3817804600413295,,,,,8,9558,1,44
2024-07-07 14:03:22.899000+00:00,258,100,0,11597,6,1,271,100,0,11130,7,1,0.112,2.56,-13,0,467,14.999999999999988,19.999999999999982,0.0,-7.6,5.224940191045253,,,,,9,9558,1,44
