variant,fold,feature_count,train_rows,validation_rows,train_groups,validation_groups,macro_f1,accuracy,log_loss,attack_f1,defend_f1,hold_f1,conserve_f1
core,1,9,39628,10372,23,6,0.7811185264159797,0.8138256845352874,0.4234209954738617,0.781437125748503,0.8810160427807486,0.8252170630426576,0.6368038740920097
core,2,9,39802,10198,23,6,0.7755103340599772,0.8072171013924299,0.42979738116264343,0.7741617357001972,0.8785342682650984,0.8163699690402477,0.6329753632343651
core,3,9,39551,10449,23,6,0.7751472586652959,0.8060101445114365,0.43397367000579834,0.7668263171162087,0.8853251318101933,0.8144049517021477,0.634032634032634
core,4,9,39697,10303,23,6,0.7731223144319359,0.802775890517325,0.43753933906555176,0.7701289224033082,0.8820466379895857,0.8105760880054038,0.6297376093294461
core,5,9,41322,8678,24,5,0.7738602601777002,0.8009910117538603,0.44385963678359985,0.7680367921816614,0.8758204253084799,0.8066974595842956,0.6448863636363636
core_brake,1,11,39628,10372,23,6,0.780863280145161,0.8132472040107983,0.4233187437057495,0.7819774718397997,0.8791946308724832,0.8250495142884089,0.6372315035799523
core_brake,2,11,39802,10198,23,6,0.7788941362839543,0.8094724455775643,0.4281371533870697,0.7762736893920749,0.8794390409409636,0.8184019370460048,0.6414618777567738
core_brake,3,11,39551,10449,23,6,0.7773248211616803,0.8088812326538425,0.43195316195487976,0.775827482447342,0.8858647936786654,0.8170708779845836,0.6305361305361306
core_brake,4,11,39697,10303,23,6,0.7722174666522953,0.8028729496263224,0.43594443798065186,0.7673170731707317,0.885201182086838,0.8113516113516114,0.625
core_brake,5,11,41322,8678,24,5,0.7721126531007572,0.8007605439041253,0.4434795677661896,0.7697614256970394,0.8773956419007614,0.80641809996537,0.6348754448398577
core_throttle,1,12,39628,10372,23,6,0.7801869231887437,0.8129579637485538,0.4244389533996582,0.7793380140421263,0.8798033958891868,0.8248024087316522,0.6368038740920097
core_throttle,2,12,39802,10198,23,6,0.7779755375994226,0.8091782702490684,0.428157240152359,0.7750184411113843,0.8815015829941203,0.818102529314856,0.6372795969773299
core_throttle,3,12,39551,10449,23,6,0.7757702873238088,0.8069671738922385,0.43263348937034607,0.7721582373560341,0.8846407382992749,0.8150723548205224,0.6312098188194039
core_throttle,4,12,39697,10303,23,6,0.7744108834970256,0.8041347180432884,0.43642041087150574,0.7710725629122893,0.8824065633546034,0.812524010756819,0.63164039696439
core_throttle,5,12,41322,8678,24,5,0.7726360507324433,0.800184374279788,0.4445236921310425,0.7672018348623854,0.8780487804878049,0.8051797895710486,0.6401137980085349
core_temporal,1,13,39628,10372,23,6,0.7731909542354586,0.8083301195526418,0.42824870347976685,0.7658688865764828,0.8798920377867746,0.8225252806382781,0.6244776119402985
core_temporal,2,13,39802,10198,23,6,0.7776102469518362,0.8076093351637575,0.4295637309551239,0.7793221165569373,0.8762886597938144,0.8150317227916056,0.6397984886649875
core_temporal,3,13,39551,10449,23,6,0.7764259564321885,0.8071585797683989,0.4338010549545288,0.7734138972809668,0.8841597191750767,0.8148356807511737,0.6332945285215367
core_temporal,4,13,39697,10303,23,6,0.7743195727694295,0.8029700087353198,0.4380798935890198,0.769193273214721,0.8844765342960289,0.8099109562524197,0.6336975273145485
core_temporal,5,13,41322,8678,24,5,0.7730807657875387,0.799723438580318,0.44810664653778076,0.7685714285714286,0.8793509552473174,0.8033929816407158,0.6410076976906928
core_powertrain,1,16,39628,10372,23,6,0.7786370037069723,0.8116081758580794,0.4255463480949402,0.7728882144663631,0.8806036395916556,0.8236399511415954,0.6374162096282754
core_powertrain,2,16,39802,10198,23,6,0.7770475632458312,0.8082957442635811,0.43027910590171814,0.7748896517900932,0.8793298618972153,0.8173188686555599,0.6366518706404566
core_powertrain,3,16,39551,10449,23,6,0.7718220613429578,0.8034261651832711,0.43712887167930603,0.762912572436382,0.8839657819697302,0.8124354278200432,0.6279744631456762
core_powertrain,4,16,39697,10303,23,6,0.7717871941691918,0.8014170629913617,0.4381653964519501,0.7651072124756335,0.882633371169126,0.8096705837025622,0.6297376093294461
core_powertrain,5,16,41322,8678,24,5,0.7747862290148357,0.8031804563263425,0.44536399841308594,0.7728188885689605,0.8799160985841636,0.8080202811707766,0.6383896477354422
full,1,25,39628,10372,23,6,0.775636111339959,0.8103548013883533,0.4288260340690613,0.77094682230869,0.8793142341529439,0.8239540910773787,0.6283292978208233
full,2,25,39802,10198,23,6,0.7730797592872907,0.8052559325357913,0.43334734439849854,0.7693445046821095,0.8791554357592093,0.8145631067961165,0.6292559899117276
full,3,25,39551,10449,23,6,0.7750980253217947,0.8062972533256771,0.43985211849212646,0.7695794510198942,0.8840579710144928,0.8147453334583997,0.6320093457943925
full,4,25,39697,10303,23,6,0.7698248085485805,0.7993788217024168,0.4418942332267761,0.7621383030897498,0.8808713410483322,0.8076516389503028,0.6286379511059371
full,5,25,41322,8678,24,5,0.7762139278085901,0.80329569025121,0.4499725103378296,0.7716671465591708,0.879937222076903,0.8078612716763006,0.6453900709219859
