source_group,fold,actual,predicted,prob_ATTACK,prob_DEFEND,prob_HOLD,prob_CONSERVE,margin_ATTACK,margin_DEFEND,margin_HOLD,margin_CONSERVE,top_probability,second_probability,probability_margin,normalized_entropy,correct
2,1,HOLD,HOLD,7.070060245532725e-05,0.0007956288018356,0.9990410014693012,9.266912640789888e-05,-6.416270732879639,-3.995592594146729,3.139825820922852,-6.145689964294434,0.9990410014693012,0.0007956288018356,0.9982453726674656,0.005895360821809561,True
22,4,ATTACK,ATTACK,0.6840035088079873,0.0001891721577458,0.3152630199247355,0.0005442991095312,1.5196596384048462,-6.673401355743408,0.7451038360595703,-5.616559982299805,0.6840035088079874,0.31526301992473554,0.3687404888832519,0.454027065383082,True
19,4,DEFEND,DEFEND,6.972808792028404e-05,0.9893513926933476,0.010489010561011,8.986865772109811e-05,-6.0953369140625,3.46486496925354,-1.0818562507629397,-5.841590881347656,0.9893513926933476,0.010489010561011,0.9788623821323366,0.04320820595371423,True
13,2,HOLD,HOLD,0.3862620189883486,0.000191549270601,0.6083085968886133,0.0052378348524369,0.8209287524223328,-6.78819751739502,1.2750951051712036,-3.479679107666016,0.6083085968886134,0.3862620189883487,0.22204657790026466,0.5041854332319925,True
23,2,DEFEND,DEFEND,7.902794282670316e-05,0.9887646215613228,0.0110801185797812,7.623191606936832e-05,-6.216556549072266,3.217853307723999,-1.273450493812561,-6.252578258514404,0.9887646215613228,0.0110801185797812,0.9776845029815416,0.04510635333884102,True
13,2,HOLD,HOLD,0.000171710810916,0.0213426688199222,0.9122111856138444,0.0662744347553172,-6.728551387786865,-1.9058998823165891,1.849263310432434,-0.7728039026260376,0.9122111856138445,0.06627443475531722,0.8459367508585273,0.2505080445930259,True
7,3,HOLD,HOLD,0.0001496234174245,0.0250378734215784,0.8650155623839251,0.1097969407770719,-6.778238296508789,-1.6582151651382446,1.8841428756713867,-0.1799719780683517,0.8650155623839252,0.10979694077707192,0.7552186216068533,0.33299600083572484,True
1,4,HOLD,HOLD,0.3278130201016337,0.0002201405233937,0.604986293049244,0.0669805463257284,0.5331794619560242,-6.7727532386779785,1.1459418535232544,-1.0548616647720337,0.6049862930492441,0.32781302010163377,0.27717327294761035,0.6150030262294355,True
2,1,CONSERVE,HOLD,0.0001133823610811,0.0013522673737307,0.913725201167839,0.0848091490973491,-7.155139923095703,-4.676367282867432,1.8393795490264893,-0.5377469658851624,0.9137252011678392,0.08480914909734912,0.82891605207049,0.21760048911092786,False
28,3,HOLD,HOLD,0.0015925723522922,9.830843435364036e-05,0.953578078550302,0.0447310406630523,-4.112490177154541,-6.897486686706543,2.2823805809021,-0.7771731019020081,0.953578078550302,0.0447310406630523,0.9088470378872496,0.14100738403782911,True
28,3,ATTACK,ATTACK,0.7133781134751408,0.0002560680881778,0.2857659626117108,0.0005998558249705,1.322246789932251,-6.610076904296875,0.4074082970619201,-5.758830547332764,0.7133781134751409,0.28576596261171083,0.4276121508634301,0.4367414510148185,True
2,1,ATTACK,ATTACK,0.6865568338745595,0.0002337373649907,0.3113922259358044,0.0018172028246452,1.3211183547973633,-6.664127826690674,0.5304825901985168,-4.613272190093994,0.6865568338745597,0.3113922259358045,0.37516460793875517,0.45799401933237954,True
